"Branch","Location","Accounting Document No","Document No","Posting Date","Created Date","Created By","Order No","Order Date","Party Code","Party Name","GL Code","GL Name","Transaction Type","Type(Dr/Cr)","Amount","Clearing Document No","Clearing Document Date","Cleared By"
"West Bengal","Barasat","9900000771","INV-0000000032","21-06-2023","21-06-2023 15:56:07","Mr.Guria","-","21-06-2023","0","ACCENTURE SOLUTIONS PRIVATE LIMITED","10102002","FG Inventory","Sales","CR","-100.00","-","-","-"
"West Bengal","Barasat","9900000770","INV/06/100000050/2023/FY-2022/23","21-06-2023","21-06-2023 15:54:56","Mr.Guria","-","21-06-2023","0","A.B.C LIMITED","10101000","Sundry Debtors","Sales","DR","5.00","-","-","-"
"West Bengal","Barasat","9900000770","INV/06/100000050/2023/FY-2022/23","21-06-2023","21-06-2023 15:54:56","Mr.Guria","-","21-06-2023","0","A.B.C LIMITED","20304005","Output IGST","Sales","CR","-600.00","-","-","-"
"West Bengal","Barasat","9900000770","INV/06/100000050/2023/FY-2022/23","21-06-2023","21-06-2023 15:54:56","Mr.Guria","-","21-06-2023","0","A.B.C LIMITED","30101000","Domestic Good Sales","Sales","CR","595.00","-","-","-"
"West Bengal","Barasat","9900000769","INV/06/100000050/2023/FY-2022/23","21-06-2023","21-06-2023 15:54:56","Mr.Guria","-","21-06-2023","0","A.B.C LIMITED","40101000","COGS","Sales","DR","-595.00","-","-","-"
"West Bengal","Barasat","9900000769","INV/06/100000050/2023/FY-2022/23","21-06-2023","21-06-2023 15:54:56","Mr.Guria","-","21-06-2023","0","A.B.C LIMITED","10102002","FG Inventory","Sales","CR","595.00","-","-","-"
"West Bengal","Barasat","9900000768","INV/06/100000049/2023/FY-2022/23","21-06-2023","21-06-2023 15:54:00","Mr.Guria","-","21-06-2023","0","Tata Consultancy Services Ltd","10101000","Sundry Debtors","Sales","DR","100.00","-","-","-"
"West Bengal","Barasat","9900000768","INV/06/100000049/2023/FY-2022/23","21-06-2023","21-06-2023 15:54:00","Mr.Guria","-","21-06-2023","0","Tata Consultancy Services Ltd","20304006","Output CGST","Sales","CR","0.00","-","-","-"
"West Bengal","Barasat","9900000768","INV/06/100000049/2023/FY-2022/23","21-06-2023","21-06-2023 15:54:00","Mr.Guria","-","21-06-2023","0","Tata Consultancy Services Ltd","20304007","Output SGST","Sales","CR","0.00","-","-","-"
"West Bengal","Barasat","9900000768","INV/06/100000049/2023/FY-2022/23","21-06-2023","21-06-2023 15:54:00","Mr.Guria","-","21-06-2023","0","Tata Consultancy Services Ltd","30101000","Domestic Good Sales","Sales","CR","-100.00","-","-","-"
"West Bengal","Barasat","9900000767","INV/06/100000049/2023/FY-2022/23","21-06-2023","21-06-2023 15:54:00","Mr.Guria","-","21-06-2023","0","Tata Consultancy Services Ltd","40101000","COGS","Sales","DR","100.00","-","-","-"
"West Bengal","Barasat","9900000767","INV/06/100000049/2023/FY-2022/23","21-06-2023","21-06-2023 15:54:00","Mr.Guria","-","21-06-2023","0","Tata Consultancy Services Ltd","10102002","FG Inventory","Sales","CR","-100.00","-","-","-"
"West Bengal","Barasat","9900000766","523641258","21-06-2023","21-06-2023 14:05:29","Mr.Guria","-","21-06-2023","61221101","Tata Consultancy Services Ltd","20301003","Vendor A/C","Payment/Expenses","DR","150.00","-","-","-"
"West Bengal","Barasat","9900000766","523641258","21-06-2023","21-06-2023 14:05:29","Mr.Guria","-","21-06-2023","61221101","Tata Consultancy Services Ltd","10104000","Bank Account","Payment/Expenses","CR","-150.00","-","-","-"
"West Bengal","Barasat","9900000765","INV-0000000031","21-06-2023","21-06-2023 13:36:50","Mr.Guria","-","21-06-2023","0","Imran A. Pvt. Ltd.","10101000","Sundry Debtors","Sales","DR","479.00","-","-","-"
"West Bengal","Barasat","9900000765","INV-0000000031","21-06-2023","21-06-2023 13:36:50","Mr.Guria","-","21-06-2023","0","Imran A. Pvt. Ltd.","20304006","Output CGST","Sales","CR","0.00","-","-","-"
"West Bengal","Barasat","9900000765","INV-0000000031","21-06-2023","21-06-2023 13:36:50","Mr.Guria","-","21-06-2023","0","Imran A. Pvt. Ltd.","20304007","Output SGST","Sales","CR","0.00","-","-","-"
"West Bengal","Barasat","9900000765","INV-0000000031","21-06-2023","21-06-2023 13:36:50","Mr.Guria","-","21-06-2023","0","Imran A. Pvt. Ltd.","30101000","Domestic Good Sales","Sales","CR","-479.00","-","-","-"
"West Bengal","Barasat","9900000764","INV-0000000031","21-06-2023","21-06-2023 13:36:50","Mr.Guria","-","21-06-2023","0","Imran A. Pvt. Ltd.","40101000","COGS","Sales","DR","479.00","-","-","-"
"West Bengal","Barasat","9900000764","INV-0000000031","21-06-2023","21-06-2023 13:36:50","Mr.Guria","-","21-06-2023","0","Imran A. Pvt. Ltd.","10102002","FG Inventory","Sales","CR","-479.00","-","-","-"
"West Bengal","Barasat","9900000763","INV7536374","21-06-2023","21-06-2023 12:41:21","Mr.Guria","PO2211004","21-06-2023","61221101","Tata Consultancy Services Ltd","10102001","RM Inventory","Purchase","DR","25000.00","-","-","-"
"West Bengal","Barasat","9900000763","INV7536374","21-06-2023","21-06-2023 12:41:21","Mr.Guria","PO2211004","21-06-2023","61221101","Tata Consultancy Services Ltd","20301001","GR/IR","Purchase","CR","-25000.00","-","-","-"
"West Bengal","Barasat","9900000762","JML/21-23IA/2621","21-06-2023","21-06-2023 10:49:16","Mr.Guria","BMISPL/K/PO/22-23/051","01-11-2022","61221208","BHAVNA ENTERPRISES","20301001","GR/IR","Purchase","DR","21150.00","-","-","-"
"West Bengal","Barasat","9900000762","JML/21-23IA/2621","21-06-2023","21-06-2023 10:49:16","Mr.Guria","BMISPL/K/PO/22-23/051","01-11-2022","61221208","BHAVNA ENTERPRISES","20304003","Input IGST","Purchase","DR","3807.00","-","-","-"
"West Bengal","Barasat","9900000762","JML/21-23IA/2621","21-06-2023","21-06-2023 10:49:16","Mr.Guria","BMISPL/K/PO/22-23/051","01-11-2022","61221208","BHAVNA ENTERPRISES","20301003","Vendor A/C","Purchase","CR","-24957.00","-","-","-"
"West Bengal","Barasat","9900000761","INV/06/100000048/2023/FY-2022/23","20-06-2023","20-06-2023 14:01:40","Mr.Guria","-","20-06-2023","0","Tata Consultancy Services Limited","10101000","Sundry Debtors","Sales","DR","3026.00","-","-","-"
"West Bengal","Barasat","9900000761","INV/06/100000048/2023/FY-2022/23","20-06-2023","20-06-2023 14:01:40","Mr.Guria","-","20-06-2023","0","Tata Consultancy Services Limited","20304006","Output CGST","Sales","CR","-1500.00","-","-","-"
"West Bengal","Barasat","9900000761","INV/06/100000048/2023/FY-2022/23","20-06-2023","20-06-2023 14:01:40","Mr.Guria","-","20-06-2023","0","Tata Consultancy Services Limited","20304007","Output SGST","Sales","CR","-1500.00","-","-","-"
"West Bengal","Barasat","9900000761","INV/06/100000048/2023/FY-2022/23","20-06-2023","20-06-2023 14:01:40","Mr.Guria","-","20-06-2023","0","Tata Consultancy Services Limited","30101000","Domestic Good Sales","Sales","CR","-26.00","-","-","-"
"West Bengal","Barasat","9900000760","INV/06/100000048/2023/FY-2022/23","20-06-2023","20-06-2023 14:01:40","Mr.Guria","-","20-06-2023","0","Tata Consultancy Services Limited","40101000","COGS","Sales","DR","26.00","-","-","-"
"West Bengal","Barasat","9900000760","INV/06/100000048/2023/FY-2022/23","20-06-2023","20-06-2023 14:01:40","Mr.Guria","-","20-06-2023","0","Tata Consultancy Services Limited","10102002","FG Inventory","Sales","CR","-26.00","-","-","-"
"West Bengal","Barasat","9900000759","JML/21-23IA/2621","19-06-2023","19-06-2023 18:38:09","Mr.Guria","BMISPL/K/PO/22-23/051","01-11-2022","","","20301001","GR/IR","Purchase","DR","21150.00","-","-","-"
"West Bengal","Barasat","9900000759","JML/21-23IA/2621","19-06-2023","19-06-2023 18:38:09","Mr.Guria","BMISPL/K/PO/22-23/051","01-11-2022","","","10102002","FG Inventory","Purchase","CR","-14750.00","-","-","-"
"West Bengal","Barasat","9900000759","JML/21-23IA/2621","19-06-2023","19-06-2023 18:38:09","Mr.Guria","BMISPL/K/PO/22-23/051","01-11-2022","","","40600000","Finance Cost","Purchase","CR","-6400.00","-","-","-"
"West Bengal","Barasat","9900000758","Test8989","19-06-2023","19-06-2023 13:40:03","Mr.Guria","-","19-06-2023","51221105","ACCENTURE SOLUTIONS PRIVATE LIMITED","10104000","Bank Account","Collection","DR","615.00","-","-","-"
"West Bengal","Barasat","9900000758","Test8989","19-06-2023","19-06-2023 13:40:03","Mr.Guria","-","19-06-2023","51221105","ACCENTURE SOLUTIONS PRIVATE LIMITED","10101000","Sundry Debtors","Collection","CR","-615.00","-","-","-"
"West Bengal","Barasat","9900000757","INV/06/100000047/2023/FY-2022/23","19-06-2023","19-06-2023 13:32:49","Mr.Guria","-","19-06-2023","0","ACCENTURE SOLUTIONS PRIVATE LIMITED","10101000","Sundry Debtors","Sales","DR","615.96","-","-","-"
"West Bengal","Barasat","9900000757","INV/06/100000047/2023/FY-2022/23","19-06-2023","19-06-2023 13:32:49","Mr.Guria","-","19-06-2023","0","ACCENTURE SOLUTIONS PRIVATE LIMITED","20304005","Output IGST","Sales","CR","-93.96","-","-","-"
"West Bengal","Barasat","9900000757","INV/06/100000047/2023/FY-2022/23","19-06-2023","19-06-2023 13:32:49","Mr.Guria","-","19-06-2023","0","ACCENTURE SOLUTIONS PRIVATE LIMITED","30101000","Domestic Good Sales","Sales","CR","-522.00","-","-","-"
"West Bengal","Barasat","9900000756","INV/06/100000047/2023/FY-2022/23","19-06-2023","19-06-2023 13:32:49","Mr.Guria","-","19-06-2023","0","ACCENTURE SOLUTIONS PRIVATE LIMITED","40101000","COGS","Sales","DR","522.00","-","-","-"
"West Bengal","Barasat","9900000756","INV/06/100000047/2023/FY-2022/23","19-06-2023","19-06-2023 13:32:49","Mr.Guria","-","19-06-2023","0","ACCENTURE SOLUTIONS PRIVATE LIMITED","10102002","FG Inventory","Sales","CR","-522.00","-","-","-"
"West Bengal","Barasat","9900000755","INV/06/100000046/2023/FY-2022/23","16-06-2023","16-06-2023 16:17:17","Mr.Guria","-","16-06-2023","0","Tata Consultancy Services Limited","10101000","Sundry Debtors","Sales","DR","3287.50","-","-","-"
"West Bengal","Barasat","9900000755","INV/06/100000046/2023/FY-2022/23","16-06-2023","16-06-2023 16:17:17","Mr.Guria","-","16-06-2023","0","Tata Consultancy Services Limited","20304006","Output CGST","Sales","CR","-1506.25","-","-","-"
"West Bengal","Barasat","9900000755","INV/06/100000046/2023/FY-2022/23","16-06-2023","16-06-2023 16:17:17","Mr.Guria","-","16-06-2023","0","Tata Consultancy Services Limited","20304007","Output SGST","Sales","CR","-1506.25","-","-","-"
"West Bengal","Barasat","9900000755","INV/06/100000046/2023/FY-2022/23","16-06-2023","16-06-2023 16:17:17","Mr.Guria","-","16-06-2023","0","Tata Consultancy Services Limited","30101000","Domestic Good Sales","Sales","CR","-275.00","-","-","-"
"West Bengal","Barasat","9900000754","INV/06/100000046/2023/FY-2022/23","16-06-2023","16-06-2023 16:17:17","Mr.Guria","-","16-06-2023","0","Tata Consultancy Services Limited","40101000","COGS","Sales","DR","275.00","-","-","-"
"West Bengal","Barasat","9900000754","INV/06/100000046/2023/FY-2022/23","16-06-2023","16-06-2023 16:17:17","Mr.Guria","-","16-06-2023","0","Tata Consultancy Services Limited","10102002","FG Inventory","Sales","CR","-275.00","-","-","-"
"West Bengal","Barasat","9900000753","INV/06/100000045/2023/FY-2022/23","16-06-2023","16-06-2023 16:15:27","Mr.Guria","-","16-06-2023","0","Tata Consultancy Services Limited","10101000","Sundry Debtors","Sales","DR","25.00","-","-","-"
"West Bengal","Barasat","9900000753","INV/06/100000045/2023/FY-2022/23","16-06-2023","16-06-2023 16:15:27","Mr.Guria","-","16-06-2023","0","Tata Consultancy Services Limited","20304006","Output CGST","Sales","CR","0.00","-","-","-"
"West Bengal","Barasat","9900000753","INV/06/100000045/2023/FY-2022/23","16-06-2023","16-06-2023 16:15:27","Mr.Guria","-","16-06-2023","0","Tata Consultancy Services Limited","20304007","Output SGST","Sales","CR","0.00","-","-","-"
"West Bengal","Barasat","9900000753","INV/06/100000045/2023/FY-2022/23","16-06-2023","16-06-2023 16:15:27","Mr.Guria","-","16-06-2023","0","Tata Consultancy Services Limited","30101000","Domestic Good Sales","Sales","CR","-25.00","-","-","-"
"West Bengal","Barasat","9900000752","INV/06/100000045/2023/FY-2022/23","16-06-2023","16-06-2023 16:15:27","Mr.Guria","-","16-06-2023","0","Tata Consultancy Services Limited","40101000","COGS","Sales","DR","25.00","-","-","-"
"West Bengal","Barasat","9900000752","INV/06/100000045/2023/FY-2022/23","16-06-2023","16-06-2023 16:15:27","Mr.Guria","-","16-06-2023","0","Tata Consultancy Services Limited","10102002","FG Inventory","Sales","CR","-25.00","-","-","-"
"West Bengal","Barasat","9900000751","ST2023068682","16-06-2023","16-06-2023 16:13:28","Mr.Guria","-","16-06-2023","","","10102002","FG Inventory","StockTransfer","DR","80000.00","-","-","-"
"West Bengal","Barasat","9900000751","ST2023068682","16-06-2023","16-06-2023 16:13:28","Mr.Guria","-","16-06-2023","","","10102002","FG Inventory","StockTransfer","CR","-5080000.00","-","-","-"
"West Bengal","Barasat","9900000750","INV/06/100000044/2023/FY-2022/23","16-06-2023","16-06-2023 12:39:16","Mr.Guria","-","16-06-2023","0","Tata Consultancy Services Limited","10101000","Sundry Debtors","Sales","DR","211.00","-","-","-"
"West Bengal","Barasat","9900000750","INV/06/100000044/2023/FY-2022/23","16-06-2023","16-06-2023 12:39:16","Mr.Guria","-","16-06-2023","0","Tata Consultancy Services Limited","20304006","Output CGST","Sales","CR","-0.50","-","-","-"
"West Bengal","Barasat","9900000750","INV/06/100000044/2023/FY-2022/23","16-06-2023","16-06-2023 12:39:16","Mr.Guria","-","16-06-2023","0","Tata Consultancy Services Limited","20304007","Output SGST","Sales","CR","-0.50","-","-","-"
"West Bengal","Barasat","9900000750","INV/06/100000044/2023/FY-2022/23","16-06-2023","16-06-2023 12:39:16","Mr.Guria","-","16-06-2023","0","Tata Consultancy Services Limited","30101000","Domestic Good Sales","Sales","CR","-210.00","-","-","-"
"West Bengal","Barasat","9900000749","INV/06/100000044/2023/FY-2022/23","16-06-2023","16-06-2023 12:39:16","Mr.Guria","-","16-06-2023","0","Tata Consultancy Services Limited","40101000","COGS","Sales","DR","210.00","-","-","-"
"West Bengal","Barasat","9900000749","INV/06/100000044/2023/FY-2022/23","16-06-2023","16-06-2023 12:39:16","Mr.Guria","-","16-06-2023","0","Tata Consultancy Services Limited","10102002","FG Inventory","Sales","CR","-210.00","-","-","-"
"West Bengal","Barasat","9900000748","INV/06/100000043/2023/FY-2022/23","16-06-2023","16-06-2023 00:04:44","Mr.Guria","-","16-06-2023","0","Tata Consultancy Services Limited","10101000","Sundry Debtors","Sales","DR","161.19","-","-","-"
"West Bengal","Barasat","9900000748","INV/06/100000043/2023/FY-2022/23","16-06-2023","16-06-2023 00:04:44","Mr.Guria","-","16-06-2023","0","Tata Consultancy Services Limited","20304006","Output CGST","Sales","CR","0.00","-","-","-"
"West Bengal","Barasat","9900000748","INV/06/100000043/2023/FY-2022/23","16-06-2023","16-06-2023 00:04:44","Mr.Guria","-","16-06-2023","0","Tata Consultancy Services Limited","20304007","Output SGST","Sales","CR","0.00","-","-","-"
"West Bengal","Barasat","9900000748","INV/06/100000043/2023/FY-2022/23","16-06-2023","16-06-2023 00:04:44","Mr.Guria","-","16-06-2023","0","Tata Consultancy Services Limited","30101000","Domestic Good Sales","Sales","CR","-161.19","-","-","-"
"West Bengal","Barasat","9900000747","INV/06/100000043/2023/FY-2022/23","16-06-2023","16-06-2023 00:04:44","Mr.Guria","-","16-06-2023","0","Tata Consultancy Services Limited","40101000","COGS","Sales","DR","161.19","-","-","-"
"West Bengal","Barasat","9900000747","INV/06/100000043/2023/FY-2022/23","16-06-2023","16-06-2023 00:04:44","Mr.Guria","-","16-06-2023","0","Tata Consultancy Services Limited","10102002","FG Inventory","Sales","CR","-161.19","-","-","-"
"West Bengal","Barasat","9900000746","JML/21-23IA/2621","15-06-2023","15-06-2023 15:53:23","Mr.Guria","BMISPL/K/PO/22-23/051","01-11-2022","","","10102002","FG Inventory","Purchase","DR","14750.00","-","-","-"
"West Bengal","Barasat","9900000746","JML/21-23IA/2621","15-06-2023","15-06-2023 15:53:23","Mr.Guria","BMISPL/K/PO/22-23/051","01-11-2022","","","40600000","Finance Cost","Purchase","DR","6400.00","-","-","-"
"West Bengal","Barasat","9900000746","JML/21-23IA/2621","15-06-2023","15-06-2023 15:53:23","Mr.Guria","BMISPL/K/PO/22-23/051","01-11-2022","","","20301001","GR/IR","Purchase","CR","-21150.00","-","-","-"
"West Bengal","Barasat","9900000745","INV/06/100000042/2023/FY-2022/23","15-06-2023","15-06-2023 13:14:48","Mr.Guria","-","15-06-2023","0","Tata Consultancy Services Limited","10101000","Sundry Debtors","Sales","DR","35400.00","-","-","-"
"West Bengal","Barasat","9900000745","INV/06/100000042/2023/FY-2022/23","15-06-2023","15-06-2023 13:14:48","Mr.Guria","-","15-06-2023","0","Tata Consultancy Services Limited","20304006","Output CGST","Sales","CR","-2700.00","-","-","-"
"West Bengal","Barasat","9900000745","INV/06/100000042/2023/FY-2022/23","15-06-2023","15-06-2023 13:14:48","Mr.Guria","-","15-06-2023","0","Tata Consultancy Services Limited","20304007","Output SGST","Sales","CR","-2700.00","-","-","-"
"West Bengal","Barasat","9900000745","INV/06/100000042/2023/FY-2022/23","15-06-2023","15-06-2023 13:14:48","Mr.Guria","-","15-06-2023","0","Tata Consultancy Services Limited","30101000","Domestic Good Sales","Sales","CR","-30000.00","-","-","-"
"West Bengal","Barasat","9900000744","INV/06/100000042/2023/FY-2022/23","15-06-2023","15-06-2023 13:14:48","Mr.Guria","-","15-06-2023","0","Tata Consultancy Services Limited","40101000","COGS","Sales","DR","30000.00","-","-","-"
"West Bengal","Barasat","9900000744","INV/06/100000042/2023/FY-2022/23","15-06-2023","15-06-2023 13:14:48","Mr.Guria","-","15-06-2023","0","Tata Consultancy Services Limited","10102002","FG Inventory","Sales","CR","-30000.00","-","-","-"
"West Bengal","Barasat","9900000743","INV/06/100000041/2023/FY-2022/23","15-06-2023","15-06-2023 13:00:06","Mr.Guria","-","15-06-2023","0","ZOMATO LIMITED","10101000","Sundry Debtors","Sales","DR","56900.00","-","-","-"
"West Bengal","Barasat","9900000743","INV/06/100000041/2023/FY-2022/23","15-06-2023","15-06-2023 13:00:06","Mr.Guria","-","15-06-2023","0","ZOMATO LIMITED","30101000","Domestic Good Sales","Sales","CR","-50900.00","-","-","-"
"West Bengal","Barasat","9900000743","INV/06/100000041/2023/FY-2022/23","15-06-2023","15-06-2023 13:00:06","Mr.Guria","-","15-06-2023","0","ZOMATO LIMITED","20304005","Output IGST","Sales","CR","-6000.00","-","-","-"
"West Bengal","Barasat","9900000742","INV/06/100000041/2023/FY-2022/23","15-06-2023","15-06-2023 13:00:06","Mr.Guria","-","15-06-2023","0","ZOMATO LIMITED","40101000","COGS","Sales","DR","50900.00","-","-","-"
"West Bengal","Barasat","9900000742","INV/06/100000041/2023/FY-2022/23","15-06-2023","15-06-2023 13:00:06","Mr.Guria","-","15-06-2023","0","ZOMATO LIMITED","10102002","FG Inventory","Sales","CR","-50900.00","-","-","-"
"West Bengal","Barasat","9900000741","INV/06/100000040/2023/FY-2022/23","15-06-2023","15-06-2023 12:58:39","Mr.Guria","-","15-06-2023","0","Tata Consultancy Services Ltd","10101000","Sundry Debtors","Sales","DR","180536.45","-","-","-"
"West Bengal","Barasat","9900000741","INV/06/100000040/2023/FY-2022/23","15-06-2023","15-06-2023 12:58:39","Mr.Guria","-","15-06-2023","0","Tata Consultancy Services Ltd","20304005","Output IGST","Sales","CR","-27539.46","-","-","-"
"West Bengal","Barasat","9900000741","INV/06/100000040/2023/FY-2022/23","15-06-2023","15-06-2023 12:58:39","Mr.Guria","-","15-06-2023","0","Tata Consultancy Services Ltd","30101000","Domestic Good Sales","Sales","CR","-152997.00","-","-","-"
"West Bengal","Barasat","9900000740","INV/06/100000040/2023/FY-2022/23","15-06-2023","15-06-2023 12:58:39","Mr.Guria","-","15-06-2023","0","Tata Consultancy Services Ltd","40101000","COGS","Sales","DR","152997.00","-","-","-"
"West Bengal","Barasat","9900000740","INV/06/100000040/2023/FY-2022/23","15-06-2023","15-06-2023 12:58:39","Mr.Guria","-","15-06-2023","0","Tata Consultancy Services Ltd","10102002","FG Inventory","Sales","CR","-152997.00","-","-","-"
"West Bengal","Barasat","9900000739","INV/06/100000039/2023/FY-2022/23","15-06-2023","15-06-2023 12:50:47","Mr.Guria","-","15-06-2023","0","Tata Consultancy Services Limited","10101000","Sundry Debtors","Sales","DR","10000.00","-","-","-"
"West Bengal","Barasat","9900000739","INV/06/100000039/2023/FY-2022/23","15-06-2023","15-06-2023 12:50:47","Mr.Guria","-","15-06-2023","0","Tata Consultancy Services Limited","20304006","Output CGST","Sales","CR","0.00","-","-","-"
"West Bengal","Barasat","9900000739","INV/06/100000039/2023/FY-2022/23","15-06-2023","15-06-2023 12:50:47","Mr.Guria","-","15-06-2023","0","Tata Consultancy Services Limited","20304007","Output SGST","Sales","CR","0.00","-","-","-"
"West Bengal","Barasat","9900000739","INV/06/100000039/2023/FY-2022/23","15-06-2023","15-06-2023 12:50:47","Mr.Guria","-","15-06-2023","0","Tata Consultancy Services Limited","30101000","Domestic Good Sales","Sales","CR","-10000.00","-","-","-"
"West Bengal","Barasat","9900000738","INV/06/100000039/2023/FY-2022/23","15-06-2023","15-06-2023 12:50:47","Mr.Guria","-","15-06-2023","0","Tata Consultancy Services Limited","40101000","COGS","Sales","DR","10000.00","-","-","-"
"West Bengal","Barasat","9900000738","INV/06/100000039/2023/FY-2022/23","15-06-2023","15-06-2023 12:50:47","Mr.Guria","-","15-06-2023","0","Tata Consultancy Services Limited","10102002","FG Inventory","Sales","CR","-10000.00","-","-","-"
"West Bengal","Barasat","9900000737","INV/06/100000038/2023/FY-2022/23","15-06-2023","15-06-2023 12:49:06","Mr.Guria","-","15-06-2023","0","AVON CYCLE LIMITED","10101000","Sundry Debtors","Sales","DR","200.00","-","-","-"
"West Bengal","Barasat","9900000737","INV/06/100000038/2023/FY-2022/23","15-06-2023","15-06-2023 12:49:06","Mr.Guria","-","15-06-2023","0","AVON CYCLE LIMITED","30101000","Domestic Good Sales","Sales","CR","-200.00","-","-","-"
"West Bengal","Barasat","9900000737","INV/06/100000038/2023/FY-2022/23","15-06-2023","15-06-2023 12:49:06","Mr.Guria","-","15-06-2023","0","AVON CYCLE LIMITED","20304006","Output CGST","Sales","CR","0.00","-","-","-"
"West Bengal","Barasat","9900000737","INV/06/100000038/2023/FY-2022/23","15-06-2023","15-06-2023 12:49:06","Mr.Guria","-","15-06-2023","0","AVON CYCLE LIMITED","20304007","Output SGST","Sales","CR","0.00","-","-","-"
"West Bengal","Barasat","9900000736","INV/06/100000038/2023/FY-2022/23","15-06-2023","15-06-2023 12:49:06","Mr.Guria","-","15-06-2023","0","AVON CYCLE LIMITED","40101000","COGS","Sales","DR","200.00","-","-","-"
"West Bengal","Barasat","9900000736","INV/06/100000038/2023/FY-2022/23","15-06-2023","15-06-2023 12:49:06","Mr.Guria","-","15-06-2023","0","AVON CYCLE LIMITED","10102002","FG Inventory","Sales","CR","-200.00","-","-","-"
"West Bengal","Barasat","9900000735","INV/06/100000037/2023/FY-2022/23","15-06-2023","15-06-2023 12:14:33","Mr.Guria","-","15-06-2023","0","Tata Consultancy Services Limited","10101000","Sundry Debtors","Sales","DR","1000.00","-","-","-"
"West Bengal","Barasat","9900000735","INV/06/100000037/2023/FY-2022/23","15-06-2023","15-06-2023 12:14:33","Mr.Guria","-","15-06-2023","0","Tata Consultancy Services Limited","20304006","Output CGST","Sales","CR","0.00","-","-","-"
"West Bengal","Barasat","9900000735","INV/06/100000037/2023/FY-2022/23","15-06-2023","15-06-2023 12:14:33","Mr.Guria","-","15-06-2023","0","Tata Consultancy Services Limited","20304007","Output SGST","Sales","CR","0.00","-","-","-"
"West Bengal","Barasat","9900000735","INV/06/100000037/2023/FY-2022/23","15-06-2023","15-06-2023 12:14:33","Mr.Guria","-","15-06-2023","0","Tata Consultancy Services Limited","30101000","Domestic Good Sales","Sales","CR","-1000.00","-","-","-"
"West Bengal","Barasat","9900000734","INV/06/100000037/2023/FY-2022/23","15-06-2023","15-06-2023 12:14:33","Mr.Guria","-","15-06-2023","0","Tata Consultancy Services Limited","40101000","COGS","Sales","DR","1000.00","-","-","-"
"West Bengal","Barasat","9900000734","INV/06/100000037/2023/FY-2022/23","15-06-2023","15-06-2023 12:14:33","Mr.Guria","-","15-06-2023","0","Tata Consultancy Services Limited","10102002","FG Inventory","Sales","CR","-1000.00","-","-","-"
"West Bengal","Barasat","9900000733","INV/06/100000036/2023/FY-2022/23","13-06-2023","13-06-2023 18:46:37","Mr.Guria","-","13-06-2023","0","Tata Consultancy Services Limited","10101000","Sundry Debtors","Sales","DR","1000.00","-","-","-"
